,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,template,tags,guid.rendered,title.rendered,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies
110,ark:/13030/c84b32tx/,Collection materials in English.,"University of California, Davis Library, University Archives",Office of Ceremonies and Special Events Collection,"University of California, Davis. Library. Department of Special Collections",AR-163,0.4 linear feet,1922-2019,,"The Office of Ceremonies and Special Events collection contains materials related to UC Davis campus ceremonies, dedications, lectures, programs, and receptions. Also included are meeting minutes for the Committee on Public Ceremonies (1947-1973).","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6576.0,2017-02-23T21:31:01,2017-04-25T10:46:08,2017-04-25T17:46:08,office-of-ceremonies-and-special-events-collection,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/office-of-ceremonies-and-special-events-collection/,,[],https://www.library.ucdavis.edu/ua-collection/office-of-ceremonies-and-special-events-collection/,Office of Ceremonies and Special Events Collection,"The Office of Ceremonies and Special Events collection contains materials related to UC Davis campus ceremonies, dedications,lectures, programs, and receptions. Also included are meeting minutes for the Committee on Public Ceremonies (1947-1973).",,AR-163,6.4,linear feet,1922-2013.,Events and Celebrations,http://www.oac.cdlib.org/findaid/ark:/13030/c84b32tx/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6576'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6576'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6576'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
115,ark:/13030/c84m9b1z/,English,"University of California, Davis Library, University Archives","University of California, Davis Admissions Office Slide Collection","University of California, Davis. Admissions Office",AR-123,5 linear feet,1989-2015,,Slides used by the Admissions Office for their publications and web site.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6589.0,2017-02-23T21:31:02,2017-02-23T21:31:02,2017-02-23T21:31:02,undergraduate-admissions,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/undergraduate-admissions/,,[],https://www.library.ucdavis.edu/ua-collection/undergraduate-admissions/,Undergraduate Admissions,Slides that were used by the Admissions Office for their publications and web site.,,AR-123,3,linear feet,1990-2001.,Vice Chancellor for Student Affairs,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6589'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6589'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6589'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
131,ark:/13030/c8542pz1/,Collection materials in English.,,Western Signal Corps School Collection,"University of California, Davis. Library",AR-185,6 photographs,1943-1944,,"From 1943-1944, in the midst of World War II, the UC College of Agriculture at Davis (now the University of California, Davis) was closed and converted to a training facility for the Western Signal Corps School (WSCS). The collection contains school newsletters, a student guide, commemorative album, farewell menu, as well as several photographs.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1.2 linear feet,,,,,,,,,,,,,,,6596.0,2017-02-23T21:31:03,2017-04-24T14:23:28,2017-04-24T21:23:28,western-signal-corps-school-collection,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/western-signal-corps-school-collection/,,[],https://www.library.ucdavis.edu/ua-collection/western-signal-corps-school-collection/,Western Signal Corps School Collection,"School newsletters, a student guide, commemorative album, farewell menu, as well as several photographs.","From 1943-1944, in the midst of World War II, the UC College of Agriculture at Davis (now the University of California, Davis) was closed and converted to a training facility for the Western Signal Corps School (WSCS).",AR-185,1.2,linear feet,1943-1944.,College of Agriculture and Environmental Sciences,http://www.oac.cdlib.org/findaid/ark:/13030/c8542pz1/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6596'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6596'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6596'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
133,ark:/13030/c8571f8t/,Collection materials in English.,,Department of Viticulture and Enology Wine Label Collection,"University of California, Davis. Department of Viticulture and Enology",AR-191,3 linear feet,1927-1990,,"This collection, assembled by the UC Davis Viticulture and Enology Department from the 1970s to the early 1990s, contains wine labels from United States wineries from circa 1947-1990. Wine labels from other countries such as Australia, France, Germany, and South Africa are also included.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,9 linear feet,,,,,,,,,,,,,,,6562.0,2017-02-23T21:31:00,2017-05-02T14:19:27,2017-05-02T21:19:27,department-of-viticulture-and-enology-wine-label-collection,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/department-of-viticulture-and-enology-wine-label-collection/,,[],https://www.library.ucdavis.edu/ua-collection/department-of-viticulture-and-enology-wine-label-collection/,Department of Viticulture and Enology Wine Label Collection,"This collection, assembled by the UC Davis Viticulture and Enology Department from the 1970s to the early 1990s, contains wine labels from United States wineries from circa 1947-1990. Wine labels from other countries such as Australia, France, Germany, and South Africa are also included.",,AR-191,9,linear feet,1927-1990.,College of Agriculture and Environmental Sciences,http://www.oac.cdlib.org/findaid/ark:/13030/c8571f8t/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6562'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6562'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6562'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
141,ark:/13030/c85h7npq/,English,"University of California, Davis Library, University Archives",Convenio Records,University of California (System),AR-014,1 linear foot,1965-1979,,"Publications and reports from a &#34;Convenio&#34; (an agreement or pact) between the University of Chile and the University of California for a long-term cooperative program that embraced nearly all disciplines at the two universities. Entomology, plant pathology, and pomology were considered top priority. The program received financial support from the Ford Foundation.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6556.0,2017-02-23T21:31:00,2017-02-23T21:31:00,2017-02-23T21:31:00,convenio-archives,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/convenio-archives/,,[],https://www.library.ucdavis.edu/ua-collection/convenio-archives/,Convenio Archives,"Publications and reports from a &quot;Convenio&quot; (an agreement or pact) between the University of Chile and the University of California for a long-term cooperative program that embraced nearly all disciplines at the two universities. Entomology, plant pathology, and pomology were considered top priority. The program received financial support from the Ford Foundation.",,AR-014,1,linear feet,1965-1979.,Vice Chancellor for Research,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6556'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6556'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6556'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
156,ark:/13030/c8668fwh/,Collection materials in English.,,Memorial Union Art Gallery Records,Memorial Union Art Gallery,AR-132,,1970-2008,,"The Memorial Union Art Gallery began as &#34;The Painting of the Month&#34; in the 1950s featuring the work of the Art Department faculty and students. An enclosed gallery was established on the fourth floor of the expanded Memorial Union Tower in 1966. The collection contains exhibit files which include artist information, press releases, correspondence between artists and the Gallery Manager, installation notes, publicity materials, exhibit catalogs, and slides.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,14 linear feet,,,,,,,,,,,,,,,6572.0,2017-02-23T21:31:01,2017-04-25T10:44:04,2017-04-25T17:44:04,memorial-union-art-gallery-records,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/memorial-union-art-gallery-records/,,[],https://www.library.ucdavis.edu/ua-collection/memorial-union-art-gallery-records/,Memorial Union Art Gallery Records,"Exhibit files which include artist information, press releases, loan agreements, correspondence between artists and the Gallery Manager, installation notes, publicity materials, exhibit catalogs, and slides.",The Memorial Union Art Gallery began as &quot;The Painting of the Month&quot; in the 1950s featuring the work of the Art Department faculty and students. An enclosed gallery was established on the fourth floor of the expanded Memorial Union Tower in 1966.,AR-132,14,linear feet,1970-2008.,Vice Chancellor for Student Affairs,http://www.oac.cdlib.org/findaid/ark:/13030/c8668fwh/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6572'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6572'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6572'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
163,ark:/13030/c86h4p61/,English,"University of California, Davis Library, University Archives",Robert Mondavi Institute of Wine and Food Science Records,Robert Mondavi Institute for Wine and Food Science,AR-143,3 copies,2001-2018,,"The Robert Mondavi Institute is home to the Department of Viticulture and Enology, the Department of Food Science and Technology, the Olive Center, the Honey &amp; Pollination Center, and the Center for Wine Economics. The collection includes clippings, brochures, promotional materials, posters, videos, and photographs related to the Robert Mondavi Institute of Wine and Food Science.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,26331.0,2018-02-13T22:26:47,2018-02-13T14:26:47,2018-02-13T22:26:47,robert-mondavi-institute-of-wine-and-food-science-records,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/robert-mondavi-institute-of-wine-and-food-science-records/,,[],https://www.library.ucdavis.edu/?post_type=ua-collection&#038;p=26331,Robert Mondavi Institute of Wine and Food Science Records,"Clippings, brochures, promotional materials, posters, videos, and photographs related to the Robert Mondavi Institute of Wine and Food Science. ","The Robert Mondavi Institute for Wine and Food Science (RMI) opened in 2008, funded by a 2001 gift from Robert Mondavi. The RMI is home to the Department of Viticulture and Enology, the Department of Food Science and Technology, the Olive Center, the Honey & Pollination Center, and the Center for Wine Economics. ",AR-143,5.7,linear feet,2001-2017.,,http://www.oac.cdlib.org/findaid/ark:/13030/c86h4p61/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/26331'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=26331'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=26331'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
205,ark:/13030/c8891bpk/,English,"University of California, Davis General Library, University Archives",Center for Health and Technology Records,UC Davis Health System. Center for Health and Technology,AR-221,4 linear feet,2007-2014,,The Center for Health and Technology is a research and education program of UC Davis Health. Records of the Center include vendor proposals and contract files related to the California Telehealth Network and building and financial records for the Center for Health and Technology Building.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,25402.0,2018-01-04T22:32:29,2018-01-04T14:32:29,2018-01-04T22:32:29,center-for-health-and-technology-records,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/center-for-health-and-technology-records/,,[],https://www.library.ucdavis.edu/?post_type=ua-collection&#038;p=25402,Center for Health and Technology Records, Records of the Center include vendor proposals and contract files related to the California Telehealth Network and building and financial records for the Center for Health and Technology Building.,The Center for Health and Technology is a research and education program of UC Davis Health. ,AR-221,4,linear feet,2007-2014.,School of Medicine,http://www.oac.cdlib.org/findaid/ark:/13030/c8891bpk/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/25402'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=25402'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=25402'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
206,ark:/13030/c8891c92/,English,"University of California, Davis Library, University Archives",University Farm Circle Records,"University Farm Circle (University of California, Davis).",AR-047,12.6 linear feet,1916-2009,,"Collection includes constitution, correspondence, meeting minutes, annual reports, club records, financial reports, club rosters, publications, photo exhibit, scrapbooks, and realia.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6592.0,2017-02-23T21:31:02,2017-02-23T21:31:02,2017-02-23T21:31:02,university-farm-circle,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/university-farm-circle/,,[],https://www.library.ucdavis.edu/ua-collection/university-farm-circle/,University Farm Circle.,"Constitution, correspondence, meeting minutes, annual reports, club records, financial reports, club rosters, publications, photo exhibit, scrapbooks, realia.",,AR-047,9.1,linear feet,1925-1999.,Student and UCD Community Organizations,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6592'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6592'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6592'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
211,ark:/13030/c88k7fnd/,English,"University of California, Davis Library, University Archives",Department of Art and Art History Collection,"University of California, Davis. Art Department",AR-019,1 16mm film,1943-2017,,"The University of California, Davis Department of Art and Art History Colletion dates from 1943 to 2017. The collection consists of promotional materials for department events, correspondence and reports related to the history of the department, and three films.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6557.0,2017-02-23T21:31:00,2017-05-02T14:11:28,2017-05-02T21:11:28,department-of-art-and-art-history-records,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/department-of-art-and-art-history-records/,,[],https://www.library.ucdavis.edu/ua-collection/department-of-art-and-art-history-records/,Department of Art and Art History Records,"Promotional materials for department events, correspondence and reports related to the history of the department, and three films.",,AR-019,1.1,linear feet,1956-2002.,College of Letters and Science,http://www.oac.cdlib.org/findaid/ark:/13030/c88k7fnd/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6557'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6557'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6557'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
229,ark:/13030/c8959pn7/,English,"University of California, Davis, Library, University Archives","University of California, Davis Fire Department Records",University of California Davis. Fire Department,AR-184,35 photographs,circa 1960-1985,,"The UC Davis Fire Department provides fire protection and emergency medical services to the UC Davis campus. It was established as a volunteer fire brigade in 1917 and formalized in the 1950s with the hire of career staff and a full-time fire chief. The collection contains station logs, clipping files, manuals, meeting minutes, photographs, and realia.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,25398.0,2018-01-04T22:23:19,2018-01-04T14:23:55,2018-01-04T22:23:55,fire-department-records,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/fire-department-records/,,[],https://www.library.ucdavis.edu/?post_type=ua-collection&#038;p=25398,Fire Department Records,"The collection contains station logs, clipping files, manuals, meeting minutes, photographs, and realia.",The UC Davis Fire Department provides fire protection and emergency medical services to the UC Davis campus. It was established as a volunteer fire brigade in 1917 and formalized in the 1950s with the hire of career staff and a full-time fire chief.,AR-184,4.6,linear feet,circa 1960-1985.,Vice Chancellor for Administration,http://www.oac.cdlib.org/findaid/ark:/13030/c8959pn7/,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/25398'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=25398'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=25398'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
235,ark:/13030/c8988cgx/,English,"University of California, Davis Library, University Archives",Accounting and Financial Services Office Records,"University of California, Davis. Accounting Office",AR-127,29.8 linear feet,1910-1957,,Income ledgers (1910-1912); general ledgers (1914-1940); contingent fund and revolving fund ledgers (1911-1922); and financial reports (1938-1957).,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6533.0,2017-02-23T21:30:58,2017-05-02T14:52:23,2017-05-02T21:52:23,accounting-and-financial-services-office,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/accounting-and-financial-services-office/,,[],https://www.library.ucdavis.edu/ua-collection/accounting-and-financial-services-office/,Accounting and Financial Services Office,Income ledgers (1910-1912); general ledgers (1914-1940); contingent fund and revolving fund ledgers (1911-1922); and financial reports (1938-1957).  These early historical account ledgers provide many clues to the activities of the campus from its earliest establishment as the University Farm. Several examples of entries include the Library's purchase of &quot;Revue de Viticulture&quot; in 1910 and the University's purchase of silkworm eggs from a firm in Tokyo in 1914.,,AR-127,5,linear feet,1910-1957.,Vice Chancellor for Administration,http://www.oac.cdlib.org/findaid/ark:/13030/c8988cgx/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6533'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6533'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6533'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
236,ark:/13030/c8988dfw/,English,"University of California, Davis Library, University Archives","University of California, Davis, Agricultural History Center Records","University of California, Davis. Agricultural History Center",AR-036,6 linear feet,1974-1997,,"The Agricultural History Center was founded in 1964 to enhance knowledge of agriculture&#39;s past through publications, education, and other public services. The collection includes correspondence, reports, and card files relating agricultural history.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6535.0,2017-02-23T21:30:59,2017-05-02T14:28:04,2017-05-02T21:28:04,agricultural-history-center,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/agricultural-history-center/,,[],https://www.library.ucdavis.edu/ua-collection/agricultural-history-center/,Agricultural History Center Collection,"Correspondence, reports, and card files relating agricultural history.",,AR-036,6,linear feet,1974-1997.,Vice Chancellor for Research,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6535'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6535'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6535'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
237,ark:/13030/c89c6zzh/,Collection materials in English.,,California Aggie Web Archives,"University of California, Davis. Library.",AR-189,1 online resource,2010-2013,,"The California Aggie, an entirely student-run publication, is a unit of the Associated Students of UC Davis and is overseen by the Campus Media Board. UC Davis Special Collections began capturing the California Aggie website in October 2010. These historic website captures are generally six months behind the current website.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1 online resource,,,,,,,,,,,,,,,6544.0,2017-02-23T21:30:59,2017-05-02T14:51:37,2017-05-02T21:51:37,california-aggie-web-archives,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/california-aggie-web-archives/,,[],https://www.library.ucdavis.edu/ua-collection/california-aggie-web-archives/,California Aggie Web Archives,Special Collections began capturing the California Aggie website in October 2010. These historic website captures are generally six months behind the current website.,"The California Aggie, an entirely student-run publication, is a unit of the Associated Students of UC Davis and is overseen by the Campus Media Board. ",AR-189,1,online resource,2010-2013.,Student and UCD Community Organizations,http://www.oac.cdlib.org/findaid/ark:/13030/c89c6zzh/,Finding Aid on the Online Archive of California,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6544'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6544'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6544'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
243,ark:/13030/c89g5t8j/,English,"University of California, Davis Library, University Archives",College of Agricultural and Environmental Sciences Executive Committee Records,"University of California, Davis. College of Agricultural and Environmental Sciences . Executive Committee",AR-120,14 linear feet,1952-2008,,"Committee lists, meeting calls, and minutes.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6553.0,2017-02-23T21:31:00,2017-02-23T21:31:00,2017-02-23T21:31:00,college-of-agricultural-and-environmental-sciences-executive-committee,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/college-of-agricultural-and-environmental-sciences-executive-committee/,,[],https://www.library.ucdavis.edu/ua-collection/college-of-agricultural-and-environmental-sciences-executive-committee/,College of Agricultural and Environmental Sciences.  Executive Committee,"Committee lists, meeting calls, and minutes.",,AR-120,8,linear feet,1952-2000.,College of Agriculture and Environmental Sciences,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6553'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6553'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6553'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
247,ark:/13030/c89p3741/,English,"University of California, Davis Library, University Archives","University of California, Davis Oral History Office Records","University of California, Davis. Oral History Office",AR-113,55.8 linear feet,1836-1995,,Audio recordings and transcripts of oral histories conducted by the Oral History Office. Also included are office files and correspondence relating to the activities of the office.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6577.0,2017-02-23T21:31:01,2017-02-23T21:31:01,2017-02-23T21:31:01,oral-history-office,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/oral-history-office/,,[],https://www.library.ucdavis.edu/ua-collection/oral-history-office/,Oral History Office,Audio recordings and transcripts of oral histories conducted by the Oral History Office. Also included are office files and correspondence relating to the activities of the office.,,AR-113,41.2,linear feet,1947-1996.,University Library,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6577'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6577'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6577'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
252,ark:/13030/c89s1xg2/,English,"University of California, Davis Library, University Archives",California Food and Fiber Futures Records,"University of California, Davis. College of Agricultural and Environmental Sciences",AR-099,10 linear feet,1993-2007,,"Correspondence, model projects, meeting and conference materials, and annual reports from project funded by W. K. Kellogg Foundation.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,6593.0,2017-02-23T21:31:03,2017-02-23T21:31:03,2017-02-23T21:31:03,university-of-california-davis-california-food-and-fiber-futures-records,publish,ua-collection,https://www.library.ucdavis.edu/ua-collection/university-of-california-davis-california-food-and-fiber-futures-records/,,[],https://www.library.ucdavis.edu/ua-collection/university-of-california-davis-california-food-and-fiber-futures-records/,"University of California, Davis. California Food and Fiber Futures Records","Correspondence, model projects, meeting and conference materials, and annual reports.",California Food and Fiber Futures was a W.K. Kellogg Foundation grant in the UC Davis College of Agricultural and Environmental Sciences Dean's Office. The purpose of the grant was to encourage institutional change in California's higher education system through engagement of higher education partnerships and community based projects that addressed critical food systems issues.,AR-099,11,linear feet,1997-2007.,College of Agriculture and Environmental Sciences,,,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection/6593'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/ua-collection'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=6593'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=6593'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]"
