,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
414,ark:/13030/c8js9wk6/,English,"University of California, Davis General Library, Dept. of Special Collections",Dolph Gotelli Papers on Art and Design,"Gotelli, Dolph",D-614,4 linear feet,1950-2015,,"Dolph Gotelli is Professor Emeritus of Design at UC Davis (1970-2005). The collection includes lecture notes, exhibit catalogs, publications, photographs, and videos related to Gotelli&#39;s 35-year career at Davis.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,ark:/13030/c8js9x91/,English,,Howard Haris Memoirs,,MC215,,,,"Memoirs of Howard Harris which document his involvement in the 4-H, the San Benito County Farm Bureau, and San Benito County land and water issues.",,1998,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,ark:/13030/c8jw8gt1/,English,,Fine Printing Collection,,D-212,,,,"Examples of small and alternative presswork and typography, including advertisements, broadsides, and postcards.",,1910-1976,null,3.5 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,ark:/13030/c8jw8j6s/,English,,Jeffrey Lindeman Collection,,D-496,,,,"Berkeley-area counterculture newspapers, playbills, some correspondence related to San Francisco Mime Troupe.",,1968-1992,"Lindeman, Jeffrey.",1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,ark:/13030/c8k076g6/,English,,John P. York Slide Collection,,D-456,,,,Slides of the travels of John P. (Jack) York.,,1961-1994,"York, John P. (1918-1996)",3.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,ark:/13030/c8k35ww4/,English,,Arthur E. Gilmore Papers,,D-092,,,,"Clippings, slides, and photographs of Sutter County flood damage in 1955.",,1955,"Gilmore, Arthur E.",2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,ark:/13030/c8k361h7/,English,,Mickey Elkus Papers,,MC169,,,,Correspondence from Dorothy Swift to Elkus.,,1977,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,ark:/13030/c8k64kt5/,English,,Jack D. Forbes Collection,,D-046,,,,"Manuscripts and proofs of articles written by Forbes; microcopies of records of Bureau of Indian Affairs; numerous serials, newspapers, clippings, newsletters related to Native American issues. Materials from California Indian Education Association and national Indian organizations. Also contains materials related to ethnic studies, census records (U.S.), California Indian Legal Services (CILS).",,1769-2012,"Forbes, Jack D.",250.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,ark:/13030/c8k64ndm/,English,"University of California, Davis General Library, Dept. of Special Collections",Nanao Sakaki Collection,"Sakaki, Nanao",D-475,1.4 linear feet,1988-2011,,"Nanao Sakaki (1923-2008), Japanese poet, authored &#34;Break the Mirror,&#34; &#34;Let&#39;s Eat Stars,&#34; and &#34;Real Play,&#34; among other works. He was a leading figure in the Tribe, Japanese sub-culture group. Collection includes manuscripts and published works by Sakaki, articles about and interviews with Sakaki, videocassettes of his readings, photographs, and ephemera.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,ark:/13030/c8k93ff7/,English,,Ruth Axe Papers,,MC072,,,,"Clippings, programs, and scripts (sides and monologues) pertaining to California and Salt Lake City, Utah theaters in the early 1920&#39;s.",,circa 1920,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,ark:/13030/c8kd24sn/,English,,Tennessee Williams Papers,,MC074,,,,"Scripts, including several original typescript versions of The night of the iguana, showing various stages of Williams&#39; creative process. Generally considered William&#39;s last great play, The night of the iguana opened in New York City in 1961.",,1959-1962,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,ark:/13030/c8kh0q2j/,English,"University of California, Davis General Library, Dept. of Special Collections",Nancy Webb Papers,"Webb, Nancy M.",D-020,0.3 linear feet,1925-1984,1964-1978,"This collection documents the work of linguistic anthropologist Nancy Matthews Webb (1922-1984). The collection includes materials on her research and professional activities studying the native languages of California, specifically Pomo and other Hokan group languages, and her broader work as a linguist. The collection includes glossaries and word lists of various central Native Californian languages, research and personal reference files, materials related to Webb&#39;s education, publications, language notecards, microfilm, and audio recordings of Webb&#39;s interviews with research subjects.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,ark:/13030/c8kh0trr/,English,,Ken Haussler Photograph Collection,,MC274,,,,"Historical images of children and teenagers in Davis, California.",,circa 1935,"Haussler, Ken.",15 lantern slides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,ark:/13030/c8kp84c9/,English,,Joann Leach Larkey Papers,,D-430,,,,"Files from her work with the University of California, Davis Oral History Project and local history material including posters, newspapers, and several photographs.",,1954-2005,"Larkey, Joann Leach.",1.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,ark:/13030/c8kp881g/,English,,Wylie E Lloyd Papers,,MC122,,,,"Photographs of various hunting expeditions to Mt. Lassen, Snow Mountain, Navarro River, and other environments by Lloyd and his friends and colleagues.",,1914-1932,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,ark:/13030/c8ks6tm0/,English,,Warner L. Marsh Papers,,D-235,,,,"Cooperative extension circulars, reprints, technical reports, and notes relating to wilderness preservation, irrigation, carob and persimmon production, and local history.",,1927-1977,"Marsh, Warner L.",1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,ark:/13030/c8ks6zfd/,English,,Fruit Growers Association By-Laws Collection,,MC150,,,,By-laws from various California fruit growers associations.,,1920-1965,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,ark:/13030/c8kw5hzd/,English,,František Rudolf Čebiš Collection,,D-123,,,,"Wine labels, price lists, menus, advertising brochures, and clippings relating to wine from throughout the world, with an emphasis on Eastern Europe. Regional wine maps and labels, arranged by country, are excellent graphic resources. Subject files include materials on corkscrews, fermentation science, labeling, toasts, patents, wine and poetry, and a variety of other topics.",,1801-1960,"Čebiš, František Rudolf",2.6 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,ark:/13030/c8kw5j8v/,English,,E. J. (Edward James) Stirniman Papers,,D-173,,,,Material regarding mechanized farming in U.S.S.R.; photographs.,,1929-1931,E. J. (Edward James) Stirniman,3.6 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,ark:/13030/c8kw5ngs/,English,,Music Ephemera Collection,,O-020,,,,"Clippings, lithographs, posters, programs, promotional materials, and serials. Extensive and diverse holdings containing, for example, a program for the Japanese Rock Musical &#39;80 Hamlet along with a 19th century lithograph depicting Madame Fanny T. Persian. The bulk of the collection is 20th century with some 19th century items.",,circa 1890-1990,"University of California, Davis. Library. Department of Special Collections.",27.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,ark:/13030/c8m0466s/,Collection materials in English.,,Juan Fried Wine Label Collection,,D-564,1 linear foot,circa 1928-2007,,"Dr. Juan Fried (1924-2007) collected an estimated 50,000 wine labels. The collection contains extensive labels from Europe (France, Italy, and Spain) as well as from the United States.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,36 linear feet,,,"Fried, Juan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,ark:/13030/c8m32z2c/,English,"University of California, Davis Library, Dept. of Special Collections",Alex Chis Papers,"Chis, Alex",D-374,8 linear feet,1944-2005,,"Material regarding socialism; articles, correspondence, mailing lists, memos.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,ark:/13030/c8m332nm/,English,,Ed Darack Papers,,MC178,,,,"Photographs used in Darack&#39;s book, 6194, Denali Solo.",,circa 1990,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,ark:/13030/c8m9099z/,Collection materials in English.,,Pioneer Reduction Company Records,Pioneer Reduction Company,D-559,3 letters,1892-1935,,"The Pioneer Reduction Company processed gold ore in Nevada City, California. The collection contains organizational records (by-laws, check stubs, bullion book, and stock certificate register) as well as correspondence regarding the plant&#39;s operation.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,ark:/13030/c8m90bdq/,English,,Medieval Manuscripts Collection,,D-041,,,,"Examples of writing from the late 1st to the late 13th, including two leaves from a Spanish gradual.",,1300-1400,null,0.5 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,ark:/13030/c8m90bkz/,English,,David Robertson Papers,,D-124,,,,"Essays, coursework, correspondence, lectures, notes, exhibit catalogs, reviews, books, photographs, manuscripts, publications and exhibition information, audiotapes, flyers, and posters.",,circa 1950-2019,"Robertson, David, 1937-",36.7 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,ark:/13030/c8m90bxf/,English,,Robert N. Campbell Papers,,D-502,,,,"Correspondence, notes, reprints, and subject files related to Campbell&#39;s work as Professor of Plant Pathology.",,1924-2008,"Campbell, Robert N.",1.5 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,ark:/13030/c8m90gkm/,English,,E. H. Uhl Collection,,MC026,,,,"Correspondence and photographs relating to the Solano Project, which included building of the Monticello Dam.",,1948-1955,"Uhl, E. H.",0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,ark:/13030/c8mc90sm/,Collection materials in English.,,W.W. Waggoner Papers,"Waggoner, W. W. (Waldo Wade)",MC255,,1891-1895,,"Waldo Wade Waggoner (1860-1939) served as County Surveyor of Nevada County, California and as California Debris Commissioner. The small collection contains his report and map on the Dry Creek Reservoir Site in Nevada County as well as three letters from the California Debris Commission concerning his work with the commission.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,ark:/13030/c8mc9295/,English,,Ralph Annereaux Papers,,D-365,,,,Material regarding malaria and parasites in California.,,1892-1982,"Annereaux, Ralph.",21 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,ark:/13030/c8mc94fs/,English,"University of California, Davis General Library, Dept. of Special Collections",Lois Weston Weeth Collection on UC Davis History,"Weeth, Lois",D-598,1 linear ft.,circa 1950-2015,,"Lois Weston Weeth (B.S. Plant Pathology, class of 1943) is a past president of the Cal Aggie Alumni Association, a former UC regent, and a past chair of the UC Davis Foundation. She is a botanist and former docent at the UC Davis Arboretum and at UC Davis&#39; Bodega Marine Laboratory. The collection includues her reminiscences as well as memorabilia, photographs, and drawings pertaining to UC Davis campus history.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,ark:/13030/c8mg7qp7/,English,"University of California, Davis General Library, Dept. of Special Collections",Robert G. Mondavi Papers,"Mondavi, Robert, 1913-2008",D-533,10.1 linear feet.,1925-2008,"Bulk, 1970-2008",,,,,47.6 linear feet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,ark:/13030/c8mg7qr4/,English,,James Vlamis Papers,,D-506,,,,Data books related to soil and plant nutrition experiments conducted by the Department of Soils and Plant Nutrition.,,1944-1999,"Vlamis, James.",1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,ark:/13030/c8mg7r7t/,English,,William E. Valente Papers,,D-013,,,,"Original compositions, performance scores, correspondence, scrapbooks, programs, and photographs.",,1950-1993,"Valente, William, 1934-1993.",40.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,ark:/13030/c8mg7r88/,English,,Edward L. Proebsting Papers,,D-254,,,,"Edward L. Proebsting (1897-1985) served as Professor of Pomology, at the University of California, Davis from 1924-1962. The collection contains experiment station reports, laboratory notes, and publications generated during Proebsting&#39;s career at UC Davis.",,1924-1962,"Proebsting, Edward L.",1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,ark:/13030/c8mg7rmr/,English,,Seymour Howard Papers,,D-248,,,,"Writings by Howard, course evaluations, printed material.",,1958-1996,"Howard, Seymour.",3 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,ark:/13030/c8mg7rrj/,English,"University of California, Davis Library, Dept. of Special Collections",Louis Owens Papers,"Owens, Louis",D-409,14.8 linear feet,circa 1965-2002,,"Manuscripts of author and professor Louis Owens&#39; works, correspondence with publishers and students, course syllabi, reviews and articles on his works, manuscripts, dissertations, publications by other authors, and videocassettes.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,ark:/13030/c8mg7rs0/,English,"University of California, Davis Library, Dept. of Special Collections",Wines and Vines Collection,"Hiaring, Philip",D-071,7.2 linear feet,1969-1979,,,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,ark:/13030/c8mg7wc8/,English,,Sacramento Municipal Utility District Collection,,MC156,,,,Bidding instructions for Upper American River Transmission Lines Project.,,1968,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,ark:/13030/c8mg7wsn/,English,,George Belmore Collection,,D-133,,,,"Correspondence, ephemera, photographs, playbills, programs, realia, and scripts collected by English character actor George Belmore.",,1854-1907,"Belmore, George, 1827 or 1828-1875",6.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,ark:/13030/c8mk6fz5/,English,,American Association of Land Grant Colleges Collection,,D-236,,,,"Circulars, notices, and news items regarding political activities of interest to member colleges and universities.",,1964-1975,American Association of Land-Grant Colleges and State Universities.,2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,ark:/13030/c8mk6ksk/,English,,Joseph Keehn Collection,,MC162,,,,Photograph of group of men sitting on South Hall porch.,,circa 1920-1930,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,ark:/13030/c8mp53vb/,Collection materials in English.,,Robert Mower Hagan Papers,"Hagan, Robert Mower, 1916-",D-348,0.4 linear feet,1901-1993,,"Robert Mower Hagan (1916-2002) served as Professor of Water Science at the University of California, Davis from 1948-1987. The Hagan Papers contain writings, teaching files including class lecture notes and background materials, as well as subject files which contain materials on topics such as the peripheral canal and Delta water management. The collection provides documentation of the politics of California&#39;s water in the late twentieth century.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,33.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,ark:/13030/c8mp58kt/,English,"University of California, Davis General Library, Dept. of Special Collections",Hibbard E. Williams Papers on Endocrinology,"Williams, Hibbard E.",D-622,Three binders,1950-1995,,"Hibbard E. Williams (1932-2016), endocrinologist and specialist in kidney stone disease, was Dean of the UC Davis School of Medicine from 1980-1992 and a member of the medical faculty from 1992-2000. His papers include lab notebooks, research notes, reprints, and slides.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,ark:/13030/c8mp592h/,English,"University of California, Davis Library, Dept. of Special Collections",Peter Willis Collection,"Willis, Peter",MC004,0.2 linear feet,1860-1880,,"Price lists, vintage reports, and shipment statistics intended for the British wine trade, dating from 1860-1880, probably collected by a wine merchant at that time.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,ark:/13030/c8ms3z8b/,English,"University of California, Davis General Library, Dept. of Special Collections",Joaquin Galvan Collection on Racial Conflict at UC Davis,"Galvan, Joaquin",MC271,4 folders,1980-2001,,"Joaquin Galvan was a Retention Coordinator at the UC Davis Learning Skills Center from 1981-2011. The collection consists of news clippings, flyers, and ephemera collected by Mr. Galvan that relate to racist activity on UC Davis campus. Also present is information on the UC Davis Memorial Union Diversity Mural.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,ark:/13030/c8ms40jq/,English,"University of California, Davis Library, Dept. of Special Collections",Hosselkus Company Collection,Hosselkus Company,D-147,0.4 linear feet,1904-1948,,"Ledger of a family corporation that speculated on farm land in Genesee, Plumas County, California.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,ark:/13030/c8mw2kbb/,English,,Bernard E. Witkin Collection,,D-339,,,,Collection of science fiction serial publications &amp; assorted books.,,1919-1995,"Witkin, B. E.(Bernard Ernest), 1904-1995.",36 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,ark:/13030/c8n018rz/,Collection materials in English.,,Frank J. Veihmeyer Papers,"Veihmeyer, Frank J., 1886-1977",D-255,,1924-1980,,"Frank J. Veihmeyer served as Professor of Water Science at the University of California, Davis from 1918-1954. The collection contains research notes, publications, and pamphlets pertaining to Veihmeyer&#39;s work in crop irrigation, particularly on the movement of water through soil and its availability to plants. The collection also contains material on the effects of cultivation and crop irrigation.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,ark:/13030/c8n018tv/,English,,Elias H. Tuma Papers,,D-258,,,,"Research files, correspondence, publication files, ephemera, and memorabilia relating to his research in international economics. Includes extensive files from committee work at UC Davis and with national and international organizations.",,1954-1993,"Tuma, Elias H.",33 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,ark:/13030/c8n303cm/,English,,Visalia (Calif.) Rainfall Log Book,,MC281,,,,"Handwritten annotated ledger of rainfall totals in Visalia, California.",,1877-1914,"Nancawen, L. V. Daggett, Alfred.",1 volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,ark:/13030/c8n303tf/,English,,China-Hawaii Photograph Collection,,MC023,,,,"Photographs depicting U.S. military maneuvers, equipment, facilities, and ceremonies in Hawaii; political torture photographs from China.",,1900-1937,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,ark:/13030/c8n87cjj/,English,,French Revolution Collection,,D-034,,,,"Correspondence between military figures involved in the French Revolution; includes manuscripts, reports, accounts, pamphlets, and proposals.",,1750-1800,null,2.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,ark:/13030/c8n87hnj/,English,,Florence H. Styles Papers,,MC021,,,,"Photographs and records of George Haines Pearson and Harry Wilber Lewis, two early University Farm students.",,1916-1919,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,ark:/13030/c8nc62zv/,English,,Charles M. Hardin Papers,,D-272,,,,"Charles M. Hardin served as Professor of Political Science at the University of California, Davis from 1965-1976. The collection contains correspondence related to research, published and unpublished, dealing with the U.S. Constitution and constitutional reform politics. Also included are general subject files which contain materials on agricultural politics, including marketing, price support, and production controls as administered by the Agricultural Stabilization and Conservation Service.",,1943-1979,"Hardin, Charles M.(Charles Meyer)",9 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,ark:/13030/c8nc63fj/,English,"University of California, Davis Library, Dept. of Special Collections",Joseph F. Williamson Papers,"Williamson, Joseph F.",D-443,8 linear feet,1951-1999,,"Manuscripts of Sunset Magazine editor Joseph F. Williamson&#39;s writings and speeches, research files, and correspondence. Also included are editions of the Sunset Western Garden Book.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,ark:/13030/c8ng4sc6/,English,,California Wool Growers&#39; Association Records,,D-195,,,,"Founded in 1860, the CWGA is an organization of sheep breeders and producers. The mission of the CWGA is to help producers to increase profits and efficiencies. The collection contains lists of officers and directors, board of directors meetings and speeches, financial statements, membership report, stenographic reports of the annual convention, correspondence, convention and banquet programs.",,1923-1957,California Wool Growers Association,5 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,ark:/13030/c8ng4xj3/,English,,Michael Rettinger Collection,,MC049,,,,One 45 rpm recording of animal noises,,circa 1950,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,ark:/13030/c8nk3mwh/,English,,Hoke Tractor Affidavit Collection,,MC173,,,,"Material about Hoke&#39;s court case: Testimony, photographs, blueprints, advertising brochures",,1921,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,ark:/13030/c8np25r0/,Collection materials in English.,,Edward Biffer Roessler Papers,"Roessler, Edward B. (Edward Biffer), 1902-1993",MC105,,1936-1973,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,ark:/13030/c8np26n2/,English,"University of California, Davis Library, Dept. of Special Collections",Francis B. DuBois Papers,"DuBois, Francis B., 1913-2005",D-418,13.8 linear feet,1930-2001,,"Files on rice research, Demeter Corporation, and Francis B. DuBois&#39; involvement with the California Crop Improvement Association and the California Rice Research Board.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,ark:/13030/c8np2b7b/,English,"University of California, Davis Library, Dept. of Special Collections","Bureau of Alcohol, Tobacco, and Firearms Wine Label Applications","United States. Bureau of Alcohol, Tobacco, and Firearms",D-127,112 linear feet,1920-1947,,"Wine labels and label permit applications submitted by domestic dealers, wineries, or importers to the Bureau of Alcohol, Tobacco, and Firearms for approval. Information required on the label includes winery or distillery name, location, type of beverage, content, name of importer or distributor, and in the case of wines, vintage year.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,ark:/13030/c8ns0wnm/,English,,Floyd Halleck Higgins Papers,,D-116,,,,"Manuscripts and research notes about agricultural machinery in the U.S., Canada, and Europe.",,circa 1910-1970,"Higgins, Floyd Halleck, 1886-1975.",24 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,ark:/13030/c8ns0x5r/,English,,Cruz Reynoso Papers,,D-401,,,,"Activities files, organization, people and issues files, files on committees and commissions, and correspondence.",,1949-circa 2010,"Reynoso, Cruz, 1931-",81 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,ark:/13030/c8ns11qj/,English,"University of California, Davis Library, Dept. of Special Collections",Joyce Goldstein Papers on California Cuisine,"Goldstein, Joyce Esersky",D-648,72 KB,2002-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,ark:/13030/c8nv9h0n/,Collection materials in English.,,James Blair Kendrick Correspondence,"Kendrick, James B. (James Blair), 1893-1962",MC246,1 letter,1924-1932,,"James Blair Kendrick (1893-1962) served as Plant Pathologist and Professor of Plant Pathology at the Berkeley and Davis campuses of the University of California from 1927-1960. The collection contains fifty-six letters, the majority of which are written from Kendrick to Max Gardner (1890-1979). The letters discuss the early years of the Plant Pathology Department at the University of California, Davis, among other topics.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
