,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia
84,ark:/13030/c8320256/,English,"University of California, Davis General Library, Dept. of Special Collections",Nevada City Board of Trade/Chamber of Commerce Minute Book,Nevada City Chamber of Commerces (Calif.),D-413,1 linear foot,1897-1910,,Minutes of the Board of Trade&#39;s (1897-1902) and Chamber of Commerce&#39;s (1902-1910) meetings.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,10868.0,2017-03-22T19:56:23,2017-03-22T12:56:23,2017-03-22T19:56:23,nevada-city-board-of-tradechamber-of-commerce-minute-book,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/nevada-city-board-of-tradechamber-of-commerce-minute-book/,0.0,,[2630],https://www.library.ucdavis.edu/manuscript/nevada-city-board-of-tradechamber-of-commerce-minute-book/,"Nevada City, Board of Trade/Chamber of Commerce Minute Book.",,Minutes of Board of Trade meetings (1897-1902); Minutes of the Chamber of Commerce (1902-1910).,D-413,1897-1910.,1,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10868'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10868'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10868'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
85,ark:/13030/c8348npp/,English,,Italian Swiss Colony Records,,D-142,,,,"Shipping invoices, inventory transactions, distillery records, correspondence, management office files, grower registers, crush reports, and loss records.",,1955-1987,"Italian Swiss Colony (Asti, Calif.).",157.4 linear feet,,,,,,,,,,,,,,,10715.0,2017-03-22T19:56:17,2017-03-22T12:56:17,2017-03-22T19:56:17,italian-swiss-colony-archives,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/italian-swiss-colony-archives/,0.0,,[2621],https://www.library.ucdavis.edu/manuscript/italian-swiss-colony-archives/,Italian Swiss Colony Archives.,"Founded in 1881, Italian Swiss Colony was a foundation winery in California, and developed into a successful manufacturer of popular table wines.","Financial records, inventory transactions, crush reports, grower records, federal forms, and medals and ribbons.",D-142,1968-1982.,157.4,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8348npp/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10715'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10715'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10715'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
86,ark:/13030/c8348nq4/,English,"University of California, Davis Library, Dept. of Special Collections",Beecher Crampton Papers,"Crampton, Beecher",D-382,7 linear feet,1897-1995,,"Research material on grasses, lecture notes, and correspondence from UC Davis Herbarium curator and botanist Beecher Crampton.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,10527.0,2017-03-22T19:56:11,2017-03-22T12:56:11,2017-03-22T19:56:11,crampton-beecher-1918-2003-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/crampton-beecher-1918-2003-papers/,0.0,,[2632],https://www.library.ucdavis.edu/manuscript/crampton-beecher-1918-2003-papers/,"Crampton, Beecher (1918-2003). Papers.","Curator of the University of California, Davis, Herbarium, herbarium botanist and lecturer.","Research material on grasses, lecture notes, and correspondence.",D-382,[1897-1995].,7,linear feet,http://oac.cdlib.org/findaid/ark:/13030/c8348nq4/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10527'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10527'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10527'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
87,ark:/13030/c8348s8z/,English,,Doerper Etchings Collection,,MC056,,,,Three surrealistic etchings,,1972,null,3 items,,,,,,,,,,,,,,,10561.0,2017-03-22T19:56:12,2017-03-22T12:56:12,2017-03-22T19:56:12,doerper-etchings-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/doerper-etchings-collection/,0.0,,[2625],https://www.library.ucdavis.edu/manuscript/doerper-etchings-collection/,Doerper Etchings. Collection.,,Three surrealistic etchings.,MC056,1972,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10561'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10561'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10561'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
88,ark:/13030/c8377bmq/,English,,William G. Powell Collection,,D-149,,,,"Personal files documenting the careers of primarily American and English actors of the 19th and 20th centuries, but including files on playwrights, theatre managers, and other performing arts personalities. Clippings, photographs, pictures, programs, promotional materials, and other theatre-related memorabilia.",,1750-1970,"Powell, William G., 1907-1971.",31.4 linear feet,,,,,,,,,,,,,,,10930.0,2017-03-22T19:56:25,2017-03-22T12:56:25,2017-03-22T19:56:25,powell-william-g-1907-1971-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/powell-william-g-1907-1971-collection/,0.0,,[2623],https://www.library.ucdavis.edu/manuscript/powell-william-g-1907-1971-collection/,"Powell, William G. (1907-1971). Collection.","Collector (from age ten) of theatre memorabilia, once described as a ""walking repository of theatre history.""","Personal files documenting the careers of primarily American and English actors of the 19th and 20th centuries, but including files on playwrights, theatre managers, and other performing arts personalities. Clippings, photographs, pictures, programs, promotional materials, and other theatre-related memorabilia.",D-149,1750-1970.,31.4,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c8377bmq/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10930'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10930'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10930'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
89,ark:/13030/c83b6291/,English,"University of California, Davis Library, Dept. of Special Collections",Putah Creek Council Collection,Putah Creek Council,D-565,15.1 linear feet,1987-2002,,"The founding meeting of the Putah Creek Council took place on Feb. 3, 1988, with the idea of bringing together people who would protect the water level in Putah Creek as well as the creek&#39;s remaining riparian habitat. The collection contains materials related to a lawsuit by the Putah Creek Council, UC Davis and the City of Davis against the Solano County Water Agency, Solano Irrigation District, and other Solano entities. The suit, which sought permanent environmental flows for the 23 miles of Putah Creek below Putah Diversion, resulted in the Putah Creek Accord.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,10938.0,2017-03-22T19:56:25,2017-03-22T12:56:25,2017-03-22T19:56:25,putah-creek-council-records,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/putah-creek-council-records/,0.0,,[2629],https://www.library.ucdavis.edu/manuscript/putah-creek-council-records/,Putah Creek Council Records,"The founding meeting of the Putah Creek Council took place on Feb. 3, 1988, with the idea of bringing together people who would protect the water level in Putah Creek as well as the creek's remaining riparian habitat.","The collection contains materials related to a lawsuit by the Putah Creek Council, UC Davis and the City of Davis against the Solano County Water Agency, Solano Irrigation District, and other Solano entities. The suit, which sought permanent environmental flows for the 23 miles ofPutah Creek below Putah Diversion, resulted in the Putah Creek Accord.",D-565,1987-2002.,15.1,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c83b6291/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10938'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10938'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10938'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
90,ark:/13030/c83b6613/,English,,Walrus &amp; Carpenter Club Collection,,MC207,,,,"By-laws, meeting minutes, and list of discussion group members.",,1951,null,0.1 linear feet,,,,,,,,,,,,,,,11136.0,2017-03-22T19:56:32,2017-03-22T12:56:32,2017-03-22T19:56:32,walrus-carpenter-club-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/walrus-carpenter-club-collection/,0.0,,[2630],https://www.library.ucdavis.edu/manuscript/walrus-carpenter-club-collection/,Walrus &amp; Carpenter Club Collection.,The club was founded to foster and support cultural activities in the Davis community.,"By-laws, meeting minutes, and list of discussion group members.",MC207,1951,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/11136'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=11136'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=11136'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
91,ark:/13030/c83f4v4k/,English,"University of California, Davis General Library, Dept. of Special Collections",Penny J. Gullan Slides on Insect Control,"Beardsley, John W.",D-597,1 linear ft.,1981,,"Penny Gullan is Professor Emeritus of Entomology at UC Davis. This collection includes two slide carousels with accompanying audio cassettes and text for &#34;Of Ants and Men and Mealybugs&#34;, a presentation on insect control in pineapple fields.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,10653.0,2017-03-22T19:56:15,2017-03-22T12:56:15,2017-03-22T19:56:15,gullan-penny-j-slides-on-insect-control,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/gullan-penny-j-slides-on-insect-control/,0.0,,[2628],https://www.library.ucdavis.edu/manuscript/gullan-penny-j-slides-on-insect-control/,"Gullan, Penny J. Slides on Insect Control","Penny Gullan served as Professor  of Entomology at the University of California, Davis.","The collection contains slides with accompanying audio cassettes and text for &quot;Of Ants and Men and Mealybugs,&quot; a presentation on insect control in pineapple fields.",D-597,1981,1,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c83f4v4k/,,,,,True,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10653'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10653'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10653'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
92,ark:/13030/c83f4wjc/,English,,Scenes of England and Wales Collection,,MC054,,,,Twenty matted prints depicting various topographical scenes in England and Wales.,,undated,null,0.1 linear feet,,,,,,,,,,,,,,,10993.0,2017-03-22T19:56:27,2017-03-22T12:56:27,2017-03-22T19:56:27,scenes-of-england-and-wales-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/scenes-of-england-and-wales-collection/,0.0,,[2625],https://www.library.ucdavis.edu/manuscript/scenes-of-england-and-wales-collection/,Scenes of England and Wales Collection.,,Twenty matted prints depicting various topographical scenes in England and Wales.,MC054,19--19--.,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10993'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10993'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10993'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
93,ark:/13030/c83j3g6k/,English,"University of California, Davis Library, Dept. of Special Collections",David Risling Papers,"Risling, David",D-334,81.4 linear feet,1969-1991,,"Files, audiotapes, newspaper clippings, newsletters, reports, memos, legal papers on subject of Native Americans. Includes information about Indian education, Indian law, and Native American Rights Fund (NARF).","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,10960.0,2017-03-22T19:56:26,2017-03-22T12:56:26,2017-03-22T19:56:26,risling-david-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/risling-david-papers/,0.0,,[2627],https://www.library.ucdavis.edu/manuscript/risling-david-papers/,"Risling, David. Papers.","Professor of Native American Studies, University of California, Davis (1970-1991). Member of the Hupa/Yurok/Karok tribes of Northern California. Dr. Risling helped found D-Q University in 1971. Risling helped launch the Native American Studies program at the University of California, Davis.","Files, audiotapes, newspaper clippings, newsletters, reports, memos, legal papers on subject of Native Americans. Includes information about Indian education, Indian law, and Native American Rights Fund (NARF).",D-334,1969-1991,43,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c83j3g6k/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10960'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10960'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10960'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
94,ark:/13030/c83n254m/,English,,Knowles A. Ryerson Papers,,D-011,,,,"Correspondence and minutes from various commissions, including the National Arboretum and the South Pacific Commission; subject files related to subtropical horticulture and international agriculture; correspondence to academic colleagues and friends.",,1914-1979,"Ryerson, Knowles Augustus, 1892-1990.",72.4 linear feet,,,,,,,,,,,,,,,10980.0,2017-03-22T19:56:26,2017-12-12T13:49:23,2017-12-12T21:49:23,ryerson-knowles-a-1892-1990-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/ryerson-knowles-a-1892-1990-papers/,19254.0,,[2632],https://www.library.ucdavis.edu/manuscript/ryerson-knowles-a-1892-1990-papers/,"Ryerson, Knowles A. (1892-1990). Papers.","M.S., Horticulture, University of California, Berkeley (1923); Agricultural Extension Agent specializing in subtropical horticulture, at University of California, Berkeley and Davis; Researcher, USDA and Bureau of Plant Industry; Assistant Dean, College of Agriculture, University of California, Davis (1937-1952).","Correspondence and minutes from various commissions, including the National Arboretum and the South Pacific Commission; subject files related to subtropical horticulture and international agriculture; correspondence to academic colleagues and friends.",D-011,1914-1979.,72.4,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c83n254m/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10980'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10980'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10980'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]","[{'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media/19254'}]"
95,ark:/13030/c83n25fn/,English,,Michel Marie Joseph Lavoipierre Scientific Photographs,,D-574,,,,"Photographs of tables for publication and of parasites, especially fleas and ticks.",,1959-1973,"Lavoipierre, Michel Marie Joseph (1920-1984)",1.2 linear feet,,,,,,,,,,,,,,,10757.0,2017-03-22T19:56:19,2017-03-22T12:56:19,2017-03-22T19:56:19,lavoipierre-michel-marie-joseph-photographs,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/lavoipierre-michel-marie-joseph-photographs/,0.0,,[2628],https://www.library.ucdavis.edu/manuscript/lavoipierre-michel-marie-joseph-photographs/,"Lavoipierre, Michel Marie Joseph. Photographs","Michel M. J. Lavoipierre 1920–1984 was an entomologist and a faculty member at the University of California, Davis.","Photographs of tables for publication and of parasites, especially fleas and ticks.",D-574,1959-1973.,1.2,linear feet,http://findaid.oac.cdlib.org/findaid/ark:/13030/tf9290075w,,,,,True,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10757'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10757'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10757'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
96,ark:/13030/c83n25kf/,English,,Jim Kiernan Papers,,D-328,,,,"Correspondence, newspaper clippings, subject files relating to Kiernan&#39;s involvement with labor unions.",,1940-1989,"Kiernan, Jim.",80 linear feet,,,,,,,,,,,,,,,10739.0,2017-03-22T19:56:18,2017-03-22T12:56:18,2017-03-22T19:56:18,kiernan-jim-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/kiernan-jim-papers/,0.0,,[1623],https://www.library.ucdavis.edu/manuscript/kiernan-jim-papers/,"Kiernan, Jim. Papers.",Socialist and trade unionist who worked on the waterfront for most of his life.,"Correspondence, newspaper clippings, subject files relating to Kiernan's involvement with labor unions.",D-328,1940-1989.,80,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c83n25kf/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10739'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10739'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10739'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
98,ark:/13030/c83n295q/,English,"University of California, Davis Library, Dept. of Special Collections",John McConnell Wine Label Collection,"McConnell, John",MC009,0.1 linear feet,,,Wine labels with notes about the character of each wine.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,undated,,,,,,,,,,,,,,10815.0,2017-03-22T19:56:21,2017-03-22T12:56:21,2017-03-22T19:56:21,mcconnell-john-collection,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/mcconnell-john-collection/,0.0,,[2621],https://www.library.ucdavis.edu/manuscript/mcconnell-john-collection/,"McConnell, John. Collection.",,Wine labels (with notes about the character of each wine).,MC009,19--19--.,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10815'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10815'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10815'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
99,ark:/13030/c83n2982/,English,,Basil H. Liddell-Hart Papers,,MC079,,,,Correspondence between Liddell-Hart and Peter Paret regarding a faculty appointment at Davis in 1965-66; some speeches and lecture notes.,,1958-1968,"Liddell Hart, Basil Henry, Sir, 1895-1970.",0.1 linear feet,,,,,,,,,,,,,,,10773.0,2017-03-22T19:56:19,2017-03-22T12:56:19,2017-03-22T19:56:19,liddell-hart-basil-h-1895-1970-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/liddell-hart-basil-h-1895-1970-papers/,0.0,,[1623],https://www.library.ucdavis.edu/manuscript/liddell-hart-basil-h-1895-1970-papers/,"Liddell-Hart, Basil H. (1895-1970). Papers.",War historian with honorary Ph.D. from Oxford University; wrote and spoke extensively on war strategy and tactics.,Correspondence between Liddell-Hart and Peter Paret regarding a faculty appointment at Davis in 1965-66; some speeches and lecture notes.,MC079,1958-1968.,,linear feet,,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10773'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10773'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10773'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
100,ark:/13030/c83r0tfs/,Collection materials in English.,,John Lofland Papers,"Lofland, John",D-473,1 videocassette,1974-2012,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,7 linear feet,,,,,,,,,,,,,,,10783.0,2017-03-22T19:56:20,2017-03-22T12:56:20,2017-03-22T19:56:20,lofland-john-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/lofland-john-papers/,0.0,,[1623],https://www.library.ucdavis.edu/manuscript/lofland-john-papers/,"Lofland, John. Papers.","Professor of Sociology, University of California, Davis (1970-1994).","Research materials on demonstrations in or near the California StateCapitol building in 1977 for his books, <span class=""booktitle"">Symbolic Sit-ins: Protest Occupations at the California Capitol (1982)</span> and <span class=""booktitle"">Crowd Lobbying: An Emerging Tactic of Interest Group Influence in California (1982)</span>. Also included are materials relating to the formation of the sister cityrelationship between the City of Davis, California and the Ukrainiancity of Uman.",D-473,1974-2012.,7,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c83r0tfs/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10783'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10783'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10783'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
101,ark:/13030/c83r0vk0/,English,,Aubrey Saint Kenworthy Papers,,D-067,,,,"Aubrey S. Kenworthy served as principal military police officer in charge of security at the trial of Japanese war criminals. The collection contains mementos of the post-World War II Japanese war criminal trials in Manila and Tokyo; materials pertaining to prisoner-of-war camps in the Philippines; photographs, newspaper and magazine clippings, manuscripts, reports, and other documents.",,1946-1948,"Kenworthy, Aubrey Saint",1.1 linear feet,,,,,,,,,,,,,,,10736.0,2017-03-22T19:56:18,2017-03-22T12:56:18,2017-03-22T19:56:18,kenworthy-aubrey-s-papers,publish,manuscript,https://www.library.ucdavis.edu/archives-and-special-collections/manuscript/kenworthy-aubrey-s-papers/,0.0,,[1623],https://www.library.ucdavis.edu/manuscript/kenworthy-aubrey-s-papers/,"Kenworthy, Aubrey S. Papers.",Principal military police officer in charge of security at the trial of Japanese war criminals.,"Mementos of the post-World War II Japanese war criminal trials in Manila and Tokyo; materials pertaining to prisoner-of-war camps in the Philippines; photographs, newspaper and magazine clippings, manuscripts, reports, and other documents.",D-067,1946-1948.,1.1,linear feet,http://www.oac.cdlib.org/findaid/ark:/13030/c83r0vk0/,,,,,False,[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript/10736'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/types/manuscript'}],[{'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/media?parent=10736'}],"[{'taxonomy': 'post_tag', 'embeddable': True, 'href': 'https://www.library.ucdavis.edu/wp-json/wp/v2/tags?post=10736'}]","[{'name': 'wp', 'href': 'https://api.w.org/{rel}', 'templated': True}]",
